name,position,age,club,nation,appearances,goals,assists
Chrislain Matsima,DF,22.0,Augsburg,fr FRA,21,1,0
Jean Mattéo Bahoya,"MF,FW",19.0,Eint Frankfurt,fr FRA,16,0,2
Alan Matturro,DF,20.0,Genoa,uy URU,10,0,0
Azor Matusiwa,MF,26.0,Rennes,nl NED,20,0,0
Neal Maupay,FW,28.0,Marseille,fr FRA,18,4,4
Maurides,FW,31.0,St. Pauli,br BRA,1,0,0
Stephy Mavididi,FW,26.0,Leicester City,eng ENG,26,3,1
Konstantinos Mavropanos,DF,27.0,West Ham,gr GRE,23,0,0
Christian Mawissa,DF,19.0,Monaco,fr FRA,15,0,0
Keke Maximilian Topp,"FW,MF",20.0,Werder Bremen,de GER,13,1,2
Borja Mayoral,FW,27.0,Getafe,es ESP,13,4,0
Senny Mayulu,MF,18.0,Paris S-G,fr FRA,13,1,0
Noussair Mazraoui,DF,27.0,Manchester Utd,ma MAR,28,0,1
Luca Mazzitelli,MF,29.0,Como,it ITA,11,1,1
Pasquale Mazzocchi,"DF,FW",29.0,Napoli,it ITA,16,0,0
Samuel Mbangula,FW,21.0,Juventus,be BEL,20,3,3
Ethan Mbappé,"MF,FW",18.0,Lille,fr FRA,7,0,0
Kylian Mbappé,FW,26.0,Real Madrid,fr FRA,25,18,3
Ibrahim Mbaye,"FW,MF",17.0,Paris S-G,fr FRA,5,0,0
Bryan Mbeumo,FW,25.0,Brentford,cm CMR,28,15,4
James Mcatee,"MF,FW",22.0,Manchester City,eng ENG,10,2,0
Kasey McAteer,"FW,MF",23.0,Leicester City,ie IRL,11,0,1
Oliver McBurnie,FW,28.0,Las Palmas,sct SCO,23,0,5
Alex McCarthy,GK,35.0,Southampton,eng ENG,5,0,0
John McGinn,"MF,FW",30.0,Aston Villa,sct SCO,25,0,3
Scott McKenna,DF,28.0,Las Palmas,sct SCO,21,0,0
Weston McKennie,"MF,DF",26.0,Juventus,us USA,22,2,3
Mark McKenzie,DF,26.0,Toulouse,us USA,23,1,0
Dwight McNeil,"MF,FW",25.0,Everton,eng ENG,13,3,3
Scott McTominay,MF,28.0,Manchester Utd,sct SCO,2,0,0
Scott McTominay,MF,28.0,Napoli,sct SCO,25,6,2
Jakov Medić,DF,26.0,Bochum,hr CRO,18,1,0
Facundo Medina,DF,25.0,Lens,ar ARG,21,0,1
Ben Mee,DF,35.0,Brentford,eng ENG,6,0,0
Jayden Meghoma,DF,18.0,Brentford,eng ENG,1,0,0
Henrik Meister,FW,21.0,Rennes,dk DEN,4,1,0
Bamo Meïté,DF,23.0,Montpellier,ci CIV,4,0,0
Bamo Meïté,"DF,MF",23.0,Marseille,ci CIV,3,0,0
Mohamed Meité,FW,17.0,Rennes,fr FRA,5,0,0
Mateo Mejía,FW,21.0,Sevilla,es ESP,1,0,0
Farid El Melali,FW,27.0,Angers,dz ALG,23,2,2
Filippo Melegoni,"MF,FW",26.0,Genoa,it ITA,3,0,1
Arthur Melo,MF,28.0,Girona,br BRA,3,0,0
Nuno Mendes,DF,22.0,Paris S-G,pt POR,17,0,2
Brais Méndez,MF,28.0,Real Sociedad,es ESP,21,3,1
Antoine Mendy,DF,20.0,Nice,fr FRA,11,0,0
Ferland Mendy,DF,29.0,Real Madrid,fr FRA,14,0,1
Nampalys Mendy,MF,32.0,Lens,sn SEN,5,0,0
Gideon Mensah,DF,26.0,Auxerre,gh GHA,20,0,1
Alex Meret,GK,27.0,Napoli,it ITA,25,0,0
Mikel Merino,"MF,FW",28.0,Arsenal,es ESP,20,4,1
Quentin Merlin,DF,22.0,Marseille,fr FRA,18,1,3
Víctor Meseguer,MF,25.0,Valladolid,es ESP,14,0,0
Rafik Messali,DF,21.0,Toulouse,fr FRA,8,0,0
Junior Messias,"MF,FW",33.0,Genoa,br BRA,10,1,1
Connor Metcalfe,MF,25.0,St. Pauli,au AUS,4,0,0
Karol Mets,DF,31.0,St. Pauli,ee EST,10,0,0
Thomas Meunier,DF,33.0,Lille,be BEL,22,1,0
Alexander Meyer,GK,33.0,Dortmund,de GER,2,0,0
Shumaira Mheuka,MF,17.0,Chelsea,eng ENG,1,0,0
Lucas Michal,"FW,MF",19.0,Monaco,fr FRA,7,0,0
Florian Micheler,MF,19.0,Hoffenheim,at AUT,1,0,0
Miguel,FW,25.0,Leganés,es ESP,26,1,3
Valentin Mihaila,"FW,MF",25.0,Parma,ro ROU,21,0,3
Georges Mikautadze,FW,24.0,Lyon,ge GEO,25,6,2
Igor Miladinović,"FW,MF",21.0,Saint-Étienne,rs SRB,3,0,0
Nikola Milenković,DF,27.0,Nott'ham Forest,rs SRB,27,3,1
Lewis Miley,MF,18.0,Newcastle Utd,eng ENG,8,1,0
Vanja Milinković-Savić,GK,28.0,Torino,rs SRB,27,0,0
Éder Militão,DF,27.0,Real Madrid,br BRA,12,1,1
Luis Milla,MF,30.0,Getafe,es ESP,23,1,2
Pere Milla,"MF,FW",32.0,Espanyol,es ESP,10,0,0
Enzo Millot,"MF,FW",22.0,Stuttgart,fr FRA,24,4,3
James Milner,MF,39.0,Brighton,eng ENG,3,0,0
Kim Min-jae,DF,28.0,Bayern Munich,kr KOR,23,2,0
Yerry Mina,DF,30.0,Cagliari,co COL,24,0,0
Takumi Minamino,"MF,FW",30.0,Monaco,jp JPN,22,4,3
Lucas Mincarelli,DF,21.0,Montpellier,fr FRA,4,0,0
Tyrone Mings,DF,31.0,Aston Villa,eng ENG,10,0,0
Óscar Mingueza,"MF,DF",25.0,Celta Vigo,es ESP,24,3,5
Kim Minsu,"MF,FW",19.0,Girona,kr KOR,3,0,0
Yankuba Minteh,"FW,MF",20.0,Brighton,gm GAM,23,5,3
Bojan Miovski,FW,25.0,Girona,mk MKD,13,2,1
Rafa Mir,"MF,FW",27.0,Valencia,es ESP,9,0,1
Juan Miranda,DF,25.0,Bologna,es ESP,23,0,4
Fabio Miretti,"MF,FW",21.0,Genoa,it ITA,22,1,3
Tyrick Mitchell,DF,25.0,Crystal Palace,eng ENG,28,0,4
Kaoru Mitoma,"FW,MF",27.0,Brighton,jp JPN,28,7,3
Maximilian Mittelstädt,DF,27.0,Stuttgart,de GER,23,1,5
Koji Miyoshi,"FW,MF",27.0,Bochum,jp JPN,14,1,0
Henrikh Mkhitaryan,MF,36.0,Inter,am ARM,26,1,3
Jakub Moder,MF,25.0,Brighton,pl POL,4,0,0
Rui Modesto,DF,25.0,Udinese,ao ANG,11,0,0
Luka Modrić,MF,39.0,Real Madrid,hr CRO,26,2,4
Max Moerstedt,FW,,Hoffenheim,de GER,12,0,0
Mostafa Mohamed,FW,27.0,Nantes,eg EGY,22,3,0
Johan Mojica,DF,32.0,Mallorca,co COL,25,1,2
David Mokwa,"DF,FW",20.0,Hoffenheim,fr FRA,2,0,0
Alberto Moleiro,"FW,MF",21.0,Las Palmas,es ESP,25,4,0
Nahuel Molina,DF,26.0,Atlético Madrid,ar ARG,20,0,3
Florent Mollet,"MF,FW",33.0,Nantes,fr FRA,9,0,0
Jon Moncayola,MF,26.0,Osasuna,es ESP,24,0,0
Gonzalo Montiel,"DF,MF",28.0,Sevilla,ar ARG,6,0,0
Lorenzo Montipò,GK,29.0,Hellas Verona,it ITA,27,0,0
Mikey Moore,"FW,MF",17.0,Tottenham,eng ENG,7,0,1
Álvaro Morata,"FW,MF",32.0,Milan,es ESP,16,5,0
Morato,DF,23.0,Nott'ham Forest,br BRA,19,0,0
Diego Moreira,"DF,MF",20.0,Strasbourg,pt POR,24,1,5
Alberto Moreno,DF,32.0,Como,es ESP,18,0,0
Álex Moreno,DF,31.0,Nott'ham Forest,es ESP,13,0,1
Gerard Moreno,FW,32.0,Villarreal,es ESP,12,3,1
Matias Moreno,DF,21.0,Fiorentina,ar ARG,4,0,0
Tete Morente,FW,28.0,Lecce,es ESP,24,3,1
Mateu Morey,DF,25.0,Mallorca,es ESP,8,0,0
Ilaix Moriba,MF,22.0,Celta Vigo,gn GUI,23,0,1
Manu Morlanes,MF,26.0,Mallorca,es ESP,18,0,0
Nikola Moro,MF,26.0,Bologna,hr CRO,18,0,2
Raúl Moro,"FW,MF",22.0,Valladolid,es ESP,22,3,2
Sam Morsy,MF,33.0,Ipswich Town,eg EGY,24,1,1
Gabriel Moscardo,MF,19.0,Reims,br BRA,3,0,0
Cristhian Mosquera,DF,20.0,Valencia,es ESP,26,1,0
Daniel Mosquera,FW,25.0,Hellas Verona,co COL,25,5,1
Yerson Mosquera,DF,23.0,Wolves,co COL,5,0,0
Dany Mota,"MF,FW",26.0,Monza,pt POR,23,4,2
Yael Mouanga,DF,19.0,Montpellier,fr FRA,7,0,0
Aimen Moueffek,MF,23.0,Saint-Étienne,fr FRA,14,0,1
Youssoufa Moukoko,"FW,MF",20.0,Nice,de GER,11,2,1
Steve Mounié,"FW,MF",30.0,Augsburg,bj BEN,13,0,0
Mason Mount,"MF,FW",26.0,Manchester Utd,eng ENG,8,0,0
Santiago Mouriño,DF,23.0,Alavés,uy URU,16,0,0
Louis Mouton,MF,22.0,Saint-Étienne,fr FRA,19,0,1
Divin Mubama,FW,20.0,Manchester City,eng ENG,1,0,0
Mykhailo Mudryk,FW,24.0,Chelsea,ua UKR,7,0,0
Ngal'Ayel Mukau,MF,20.0,Lille,cd COD,16,0,1
Nordi Mukiele,DF,27.0,Leverkusen,fr FRA,13,1,0
Florian Müller,GK,27.0,Freiburg,de GER,3,0,0
Kevin Müller,GK,33.0,Heidenheim,de GER,25,0,0
Marius Müller,GK,31.0,Wolfsburg,de GER,6,0,0
Thomas Müller,"MF,FW",35.0,Bayern Munich,de GER,22,1,3
Abdul Mumin,DF,26.0,Rayo Vallecano,gh GHA,24,2,1
Marshall Munetsi,"FW,MF",28.0,Wolves,zw ZIM,4,1,1
Marshall Munetsi,MF,28.0,Reims,zw ZIM,19,4,2
Rodrigo Muniz,FW,23.0,Fulham,br BRA,27,5,1
Aihen Muñoz,DF,27.0,Real Sociedad,es ESP,14,0,0
Álex Muñoz,DF,30.0,Las Palmas,es ESP,17,3,0
Daniel Muñoz,DF,28.0,Crystal Palace,co COL,27,3,4
Iker Muñoz,MF,22.0,Osasuna,es ESP,14,0,0
Javier Muñoz,"MF,DF",30.0,Las Palmas,es ESP,27,0,2
Arijanet Muric,GK,26.0,Ipswich Town,xk KVX,18,0,0
Murillo,DF,22.0,Nott'ham Forest,br BRA,27,1,0
Vedat Muriqi,FW,30.0,Mallorca,xk KVX,22,6,2
Jacob Murphy,FW,30.0,Newcastle Utd,eng ENG,24,5,8
Bob Murphy Omoregbe,MF,21.0,Milan,it ITA,1,0,0
Yunus Musah,"MF,FW",22.0,Milan,us USA,23,0,2
Jamal Musiala,MF,22.0,Bayern Munich,de GER,22,11,2
Florent Muslija,"FW,MF",26.0,Freiburg,xk KVX,9,0,0
Almoatasem Al Musrati,MF,28.0,Monaco,ly LBY,5,0,1
Juan Musso,GK,30.0,Atalanta,ar ARG,1,0,0
Juan Musso,GK,30.0,Atlético Madrid,ar ARG,1,0,0
Kingstone Mutandwa,"MF,FW",22.0,Cagliari,zm ZAM,3,0,0
Junior Mwanga,MF,21.0,Le Havre,fr FRA,3,0,0
Junior Mwanga,MF,21.0,Strasbourg,fr FRA,8,0,0
Phillipp Mwene,DF,31.0,Mainz 05,at AUT,25,0,4
Vitaliy Mykolenko,DF,25.0,Everton,ua UKR,26,0,1
Joakim Mæhle,DF,27.0,Wolfsburg,dk DEN,19,3,3
Obite N'Dicka,DF,25.0,Roma,ci CIV,28,0,1
Konan N'dri,"FW,MF",24.0,Lecce,ci CIV,3,0,0
Loïc N'Gatta,DF,21.0,Auxerre,fr FRA,2,0,0
Nathan N'Goumou,FW,24.0,Gladbach,fr FRA,16,2,1
Djylian N'Guessan,FW,16.0,Saint-Étienne,fr FRA,6,0,0
Stanley N'Soki,DF,25.0,Hoffenheim,fr FRA,16,0,0
Mickael Nade,DF,26.0,Saint-Étienne,fr FRA,17,1,1
Bilal Nadir,MF,21.0,Marseille,fr FRA,12,1,0
Mahamadou Nagida,DF,19.0,Rennes,cm CMR,12,2,0
Keito Nakamura,FW,24.0,Reims,jp JPN,24,8,1
Sebastian Nanasi,"FW,MF",22.0,Strasbourg,se SWE,23,5,3
Yael Nandjou,DF,19.0,Nice,fr FRA,3,0,0
Matija Nastasić,DF,31.0,Leganés,rs SRB,22,1,0
Natan,DF,24.0,Betis,br BRA,21,0,1
Pau Navarro,DF,19.0,Villarreal,es ESP,10,0,0
Roberto Navarro,"MF,FW",22.0,Mallorca,es ESP,23,1,0
Jesús Navas,"FW,MF",39.0,Sevilla,es ESP,15,1,0
Michel Ndary Adopo,MF,24.0,Cagliari,fr FRA,25,0,1
Youssouf Ndayishimiye,DF,26.0,Nice,bi BDI,17,1,0
Iliman Ndiaye,FW,25.0,Everton,sn SEN,24,6,0
Junior Ndiaye,FW,19.0,Montpellier,fr FRA,9,0,0
Rassoul Ndiaye,MF,23.0,Le Havre,sn SEN,20,1,0
Wilfred Ndidi,MF,28.0,Leicester City,ng NGA,19,0,4
Wilfried Ndollo,DF,19.0,Montpellier,cm CMR,1,0,0
Tanguy Ndombele,MF,28.0,Nice,fr FRA,18,1,2
Cher Ndour,"MF,FW",20.0,Fiorentina,it ITA,4,0,0
Dan Ndoye,FW,24.0,Bologna,ch SUI,23,6,2
Paul Nebel,MF,22.0,Mainz 05,de GER,23,7,2
Kosta Nedeljković,DF,19.0,Aston Villa,rs SRB,5,0,0
Kosta Nedeljković,"DF,FW",19.0,RB Leipzig,rs SRB,3,0,0
Loïc Nego,"DF,FW",34.0,Le Havre,hu HUN,22,0,0
Ivan Nekić,DF,24.0,Holstein Kiel,hr CRO,1,0,0
Reiss Nelson,FW,25.0,Arsenal,eng ENG,1,0,0
Reiss Nelson,FW,25.0,Fulham,eng ENG,11,1,1
Victor Nelsson,DF,26.0,Roma,dk DEN,3,0,0
David Nemeth,DF,23.0,St. Pauli,at AUT,15,0,0
David Neres,FW,28.0,Napoli,br BRA,22,2,4
Neto,GK,35.0,Bournemouth,br BRA,2,0,0
Pedro Neto,FW,25.0,Chelsea,pt POR,25,3,4
Luca Netz,DF,21.0,Gladbach,de GER,17,0,2
Manuel Neuer,GK,38.0,Bayern Munich,de GER,20,0,0
Florian Neuhaus,MF,27.0,Gladbach,de GER,11,0,1
João Neves,"MF,DF",20.0,Paris S-G,pt POR,21,2,8
Yvan Neyou,MF,28.0,Leganés,cm CMR,22,1,1
Cyril Ngonge,"FW,DF",24.0,Napoli,be BEL,11,0,0
Mikayil Ngor Faye,DF,20.0,Rennes,sn SEN,10,0,0
Steve Ngoura,FW,20.0,Le Havre,fr FRA,8,0,0
Bernard Nguene,FW,18.0,Nice,cm CMR,1,0,0
Moussa Niakhate,DF,29.0,Lyon,sn SEN,22,0,0
Abdoulaye Niakhate Ndiaye,DF,22.0,Brest,sn SEN,14,1,0
Ibrahima Niane,FW,25.0,Angers,sn SEN,20,3,1
Tanguy Nianzou,DF,22.0,Sevilla,fr FRA,6,0,0
Cheikh Niasse,MF,25.0,Hellas Verona,sn SEN,6,0,0
Rasmus Nicolaisen,DF,27.0,Toulouse,dk DEN,7,0,1
Moritz Nicolas,GK,27.0,Gladbach,de GER,19,0,0
Hans Nicolussi Caviglia,MF,24.0,Venezia,it ITA,26,4,2
Julian Niehues,MF,23.0,Heidenheim,de GER,3,0,0
Saúl Ñíguez,MF,30.0,Sevilla,es ESP,15,1,6
Eybi Nije,"FW,MF",19.0,Torino,se SWE,16,1,0
Tamás Nikitscher,MF,25.0,Valladolid,hu HUN,6,0,0
Adrian Niño,FW,20.0,Atlético Madrid,es ESP,1,0,0
Justin Njinmah,"FW,MF",24.0,Werder Bremen,de GER,18,3,1
Eddie Nketiah,"MF,FW",25.0,Crystal Palace,eng ENG,20,1,1
Niels Nkounkou,"DF,MF",24.0,Eint Frankfurt,fr FRA,11,0,0
Christopher Nkunku,FW,27.0,Chelsea,fr FRA,24,3,2
Felix Nmecha,MF,24.0,Dortmund,de GER,19,2,1
Lukas Nmecha,FW,26.0,Wolfsburg,de GER,11,2,0
Arnaud Nordin,FW,26.0,Montpellier,fr FRA,16,4,1
Arnaud Nordin,DF,26.0,Mainz 05,fr FRA,2,0,0
Brooke Norton-Cuffy,"DF,MF",21.0,Genoa,eng ENG,7,0,0
Tijjani Noslin,"FW,MF",25.0,Lazio,nl NED,22,2,2
Hugo Novoa,"DF,MF",22.0,Alavés,es ESP,5,0,0
Plamedi Nsingi,MF,24.0,Nantes,,1,0,0
Randy Nteka,FW,27.0,Rayo Vallecano,ao ANG,20,3,0
Ernest Nuamah,"FW,MF",21.0,Lyon,gh GHA,20,3,1
Alexander Nübel,GK,28.0,Stuttgart,de GER,25,0,1
Matheus Nunes,"DF,MF",26.0,Manchester City,pt POR,19,0,4
Darwin Núñez,FW,25.0,Liverpool,uy URU,23,5,2
Unai Núñez,DF,28.0,Athletic Club,es ESP,4,0,0
Antonio Nusa,"MF,DF",19.0,RB Leipzig,no NOR,21,3,3
Ethan Nwaneri,"FW,MF",17.0,Arsenal,eng ENG,18,3,1
Ørjan Nyland,GK,34.0,Sevilla,no NOR,20,0,0
Allan Nyom,"DF,MF",36.0,Getafe,cm CMR,12,1,1
Rabby Nzingoula,MF,19.0,Montpellier,cg CGO,20,1,0
M'Bala Nzola,FW,28.0,Lens,ao ANG,18,6,1
Marwann Nzuzi,DF,20.0,Saint-Étienne,fr FRA,2,0,0
Christian Nørgaard,MF,31.0,Brentford,dk DEN,24,3,2
Jake O'Brien,DF,23.0,Everton,ie IRL,11,1,0
Matt O'Riley,MF,24.0,Brighton,dk DEN,12,1,1
Dara O'Shea,DF,26.0,Ipswich Town,ie IRL,25,0,0
Adam Obert,DF,22.0,Cagliari,sk SVK,16,1,1
Chidozie Obi-Martin,FW,17.0,Manchester Utd,dk DEN,2,0,0
Jan Oblak,GK,32.0,Atlético Madrid,si SVN,26,0,0
Lucas Ocampos,FW,30.0,Sevilla,ar ARG,2,0,1
Jens Odgaard,"MF,FW",25.0,Bologna,dk DEN,23,5,0
Wilson Odobert,FW,20.0,Tottenham,fr FRA,7,0,0
Álvaro Odriozola,DF,29.0,Real Sociedad,es ESP,2,0,0
Tim Oermann,DF,21.0,Bochum,de GER,20,0,1
Chiedozie Ogbene,FW,27.0,Ipswich Town,ie IRL,5,0,0
Ifechukwu Ogbus,DF,19.0,Freiburg,ch SUI,2,0,0
Thiago Ojeda,MF,22.0,Villarreal,ar ARG,1,0,0
Hamzat Ojediran,"MF,FW",21.0,Lens,ng NGA,14,1,0
Noah Okafor,"FW,MF",24.0,Napoli,ch SUI,3,0,0
Noah Okafor,FW,24.0,Milan,ch SUI,11,1,0
Caleb Okoli,DF,23.0,Leicester City,it ITA,16,0,0
Yllan Okou,DF,22.0,Hellas Verona,fr FRA,1,0,0
Maduka Okoye,GK,25.0,Udinese,ng NGA,14,0,0
Joseph Okumu,DF,27.0,Reims,ke KEN,15,1,0
Kazeem Olaigbe,"FW,MF",22.0,Rennes,be BEL,3,0,0
Olasagasti,MF,24.0,Real Sociedad,es ESP,15,1,1
Ben Old,"MF,FW",22.0,Saint-Étienne,nz NZL,6,0,0
Finn Ole Becker,MF,24.0,Hoffenheim,de GER,8,0,1
Michael Olise,"FW,MF",23.0,Bayern Munich,fr FRA,25,8,7
Brian Oliván,DF,30.0,Espanyol,es ESP,17,0,1
Lucas Oliveira Rosa,DF,24.0,Valladolid,br BRA,21,0,1
Mathías Olivera,DF,27.0,Napoli,uy URU,22,0,1
Dani Olmo,"MF,FW",26.0,Barcelona,es ESP,16,6,2
Robin Olsen,GK,35.0,Aston Villa,se SWE,3,0,0
Warmed Omari,DF,24.0,Lyon,km COM,1,0,0
Becir Omeragic,"DF,MF",23.0,Montpellier,ch SUI,16,0,0
Jonas Omlin,GK,31.0,Gladbach,ch SUI,6,0,0
Andrew Omobamidele,DF,22.0,Strasbourg,ie IRL,4,0,0
Ado Onaiwu,"MF,FW",29.0,Auxerre,jp JPN,23,2,0
Amadou Onana,MF,23.0,Aston Villa,be BEL,17,2,0
André Onana,GK,28.0,Manchester Utd,cm CMR,28,0,0
Jean Onana,MF,25.0,Genoa,cm CMR,3,0,0
Jacob Ondrejka,"MF,FW",22.0,Parma,se SWE,3,0,0
Karim Onisiwo,"MF,FW",32.0,Mainz 05,at AUT,6,0,0
Paul Onuachu,FW,30.0,Southampton,ng NGA,18,2,1
Frank Onyeka,MF,27.0,Brentford,ng NGA,2,0,0
Frank Onyeka,MF,27.0,Augsburg,ng NGA,22,0,1
Loïs Openda,"FW,MF",25.0,RB Leipzig,be BEL,24,7,5
Christopher Operi,"DF,FW",27.0,Le Havre,ci CIV,13,0,2
Fredrik Oppegard,"DF,MF",22.0,Auxerre,no NOR,3,0,0
Victor Orakpo,FW,18.0,Nice,ng NGA,4,0,0
Ike Orazi,MF,17.0,Reims,ie IRL,1,0,0
Gift Orban,"FW,DF",22.0,Lyon,ng NGA,3,2,0
Gift Orban,FW,22.0,Hoffenheim,ng NGA,9,4,0
Willi Orban,DF,32.0,RB Leipzig,hu HUN,22,5,0
Ivan Ordets,DF,32.0,Bochum,ua UKR,16,0,0
Lewis Orford,MF,19.0,West Ham,eng ENG,2,0,0
Gaetano Oristanio,"MF,FW",22.0,Venezia,it ITA,28,2,3
Aimar Oroz,MF,23.0,Osasuna,es ESP,25,4,1
Riccardo Orsolini,FW,28.0,Bologna,it ITA,20,9,3
Stefan Ortega,GK,32.0,Manchester City,de GER,9,0,0
Ángel Ortíz,DF,20.0,Betis,es ESP,4,0,1
Gabriel Osei Misehouy,"FW,MF",19.0,Girona,nl NED,8,1,0
Gabriel Osho,DF,26.0,Auxerre,ng NGA,17,1,0
Yordan Osorio,DF,30.0,Parma,ve VEN,3,0,0
Patrick Osterhage,MF,25.0,Freiburg,de GER,22,0,0
William Osula,FW,21.0,Newcastle Utd,dk DEN,10,0,0
Jibril Othman,FW,20.0,Saint-Étienne,tn TUN,1,0,0
David Otorbi,MF,17.0,Valencia,es ESP,1,0,0
Dango Ouattara,FW,23.0,Bournemouth,bf BFA,25,7,4
Guimissongui Ouattara,"FW,DF",19.0,Strasbourg,fr FRA,12,1,1
Kassoum Ouattara,"DF,FW",20.0,Monaco,fr FRA,12,0,1
Remi Oudin,"MF,FW",28.0,Lecce,fr FRA,11,0,0
Assan Ouedraogo,MF,18.0,RB Leipzig,de GER,3,0,0
Zinédine Ould Khaled,MF,25.0,Angers,fr FRA,2,0,0
Cheick Oumar Conde,MF,24.0,Venezia,gn GUI,4,0,0
Jesús Owono,GK,24.0,Alavés,gq EQG,5,0,0
Beres Owusu,DF,21.0,Saint-Étienne,fr FRA,1,0,0
Elisha Owusu,MF,27.0,Auxerre,gh GHA,24,1,3
Mikel Oyarzabal,"FW,MF",27.0,Real Sociedad,es ESP,24,4,2
Daniel Oyegoke,DF,22.0,Hellas Verona,eng ENG,4,0,0
Salih Özcan,MF,27.0,Wolfsburg,tr TUR,11,0,0
Salih Özcan,MF,27.0,Dortmund,tr TUR,5,0,0
Cenk Özkacar,DF,24.0,Valladolid,tr TUR,5,0,0
Nico O’Reilly,"MF,DF",19.0,Manchester City,eng ENG,2,0,0
Jon Pacheco,DF,24.0,Real Sociedad,es ESP,11,0,0
Willian Pacho,DF,23.0,Paris S-G,ec ECU,22,0,1
Daniele Padelli,GK,39.0,Udinese,it ITA,1,0,0
Alex Padilla,GK,21.0,Athletic Club,es ESP,5,0,0
Simone Pafundi,MF,19.0,Udinese,it ITA,3,0,0
Exequiel Palacios,MF,26.0,Leverkusen,ar ARG,17,1,4
Tiago Palacios,DF,21.0,Monza,ar ARG,4,0,0
Tiago Palacios,DF,21.0,Inter,ar ARG,2,0,0
Isaac Palazón Camacho,"FW,MF",30.0,Rayo Vallecano,es ESP,25,3,3
Alberto Paleari,GK,32.0,Torino,it ITA,1,0,0
Marco Palestra,DF,20.0,Atalanta,it ITA,7,0,0
João Palhinha,MF,29.0,Bayern Munich,pt POR,12,0,0
Nicolas Pallois,DF,37.0,Nantes,fr FRA,19,0,1
Alex Palmer,GK,28.0,Ipswich Town,eng ENG,4,0,0
Cole Palmer,MF,22.0,Chelsea,eng ENG,28,14,6
Emerson Palmieri,DF,30.0,West Ham,it ITA,24,2,1
Mats Pannewig,MF,20.0,Bochum,de GER,9,0,0
Lucas Paquetá,"MF,FW",27.0,West Ham,br BRA,23,4,0
Aitor Paredes,DF,24.0,Athletic Club,es ESP,16,3,0
Leandro Paredes,MF,30.0,Roma,ar ARG,17,1,1
Daniel Parejo,MF,35.0,Villarreal,es ESP,24,3,1
Fabiano Parisi,"DF,MF",24.0,Fiorentina,it ITA,18,1,0
Thomas Partey,"MF,DF",31.0,Arsenal,gh GHA,27,3,2
Mario Pašalić,MF,30.0,Atalanta,hr CRO,25,2,3
Álvaro Pascual,FW,23.0,Sevilla,es ESP,2,0,0
Felix Passlack,"DF,MF",26.0,Bochum,de GER,22,0,4
Patric,DF,31.0,Lazio,es ESP,9,1,0
Rui Patrício,GK,37.0,Atalanta,pt POR,2,0,0
Nathan Patterson,"DF,FW",23.0,Everton,sct SCO,7,0,0
Benjamin Pavard,DF,28.0,Inter,fr FRA,19,0,1
Aleksandar Pavlovic,MF,20.0,Bayern Munich,de GER,15,1,0
Strahinja Pavlović,DF,23.0,Milan,rs SRB,16,1,1
Leonardo Pavoletti,"FW,MF",36.0,Cagliari,it ITA,20,1,0
Martín Payero,MF,26.0,Udinese,ar ARG,17,1,1
Nicolas Pays,"FW,MF",21.0,Montpellier,fr FRA,5,0,0
Nicolás Paz,"MF,FW",20.0,Como,ar ARG,26,6,4
Mads Pedersen,DF,28.0,Augsburg,dk DEN,6,0,0
Marcus Pedersen,DF,24.0,Torino,no NOR,22,0,0
Alfonso Pedraza,"DF,MF",28.0,Villarreal,es ESP,2,0,0
Pedri,MF,22.0,Barcelona,es ESP,25,4,3
Pedro,"FW,MF",37.0,Lazio,es ESP,20,6,0
Kévin Pedro,DF,19.0,Saint-Étienne,fr FRA,1,0,0
Adrià Pedrosa,DF,26.0,Sevilla,es ESP,21,1,1
Jordan Pefok,FW,28.0,Union Berlin,us USA,18,0,1
Pejiño,FW,28.0,Las Palmas,es ESP,1,0,0
Pietro Pellegri,FW,23.0,Empoli,it ITA,11,3,0
Lorenzo Pellegrini,MF,28.0,Roma,it ITA,21,2,1
Luca Pellegrini,DF,26.0,Lazio,it ITA,14,0,1
Mateo Pellegrino,FW,24.0,Parma,ar ARG,3,2,0
Théo Pellenard,DF,31.0,Auxerre,fr FRA,2,0,0
Andy Pelmard,DF,24.0,Lecce,fr FRA,3,0,0
Andy Pelmard,DF,24.0,Las Palmas,fr FRA,4,0,0
Timothee Pembele,DF,22.0,Le Havre,fr FRA,12,0,0
Faris Pemi Moumbagna,FW,24.0,Marseille,cm CMR,1,0,0
Iñaki Peña,GK,26.0,Barcelona,es ESP,15,0,0
Rubén Peña,"FW,DF",33.0,Osasuna,es ESP,19,0,0
Nicolas Pépé,"FW,MF",29.0,Villarreal,ci CIV,18,1,2
Peque,"FW,MF",22.0,Sevilla,es ESP,18,0,1
Óscar Perea,MF,19.0,Strasbourg,co COL,1,0,0
Andreas Pereira,MF,29.0,Fulham,br BRA,25,2,3
Mathias Pereira Lage,"FW,MF",28.0,Brest,pt POR,20,1,3
Pedro Pereira,DF,27.0,Monza,pt POR,26,1,3
Ricardo Pereira,DF,31.0,Leicester City,pt POR,3,0,0
Gastón Pereiro,MF,29.0,Genoa,uy URU,2,0,0
Daniel Peretz,GK,24.0,Bayern Munich,il ISR,3,0,0
Ayoze Pérez,FW,31.0,Villarreal,es ESP,19,11,0
Carles Pérez,"MF,FW",27.0,Getafe,es ESP,22,2,0
