name,position,age,club,nation,appearances,goals,assists
Edoardo Bove,"MF,FW",22.0,Fiorentina,it ITA,12,1,2
Jarrod Bowen,"FW,MF",28.0,West Ham,eng ENG,23,7,4
Enzo Boyomo,DF,23.0,Osasuna,cm CMR,22,2,0
Enzo Boyomo,DF,23.0,Valladolid,cm CMR,3,0,0
Domagoj Bradarić,DF,25.0,Hellas Verona,hr CRO,19,0,0
Conor Bradley,DF,21.0,Liverpool,nir NIR,12,0,0
Bilal Brahimi,MF,24.0,Nice,dz ALG,2,0,0
Julian Brandt,MF,28.0,Dortmund,de GER,21,3,5
Jarrad Branthwaite,DF,22.0,Everton,eng ENG,21,0,1
Darko Brašanac,MF,33.0,Leganés,rs SRB,22,1,2
Lilian Brassier,DF,25.0,Marseille,fr FRA,12,0,0
Lilian Brassier,DF,25.0,Rennes,fr FRA,6,1,0
Matthias Braunöder,MF,22.0,Como,at AUT,8,0,0
Iker Bravo,"FW,MF",20.0,Udinese,es ESP,20,2,1
James Bree,DF,27.0,Southampton,eng ENG,14,0,1
Tim Breithaupt,MF,23.0,Augsburg,de GER,2,0,1
Gleison Bremer,DF,27.0,Juventus,br BRA,6,0,0
Brenner,"MF,FW",25.0,Udinese,br BRA,9,1,2
Ben Brereton,FW,25.0,Southampton,cl CHI,10,0,0
Marco Brescianini,MF,25.0,Atalanta,it ITA,21,3,2
Maximilian Breunig,"FW,MF",24.0,Heidenheim,de GER,13,2,0
Anthony Briançon,DF,30.0,Saint-Étienne,fr FRA,1,0,0
Nathan Broadhead,"FW,MF",26.0,Ipswich Town,wls WAL,12,0,0
Armando Broja,FW,23.0,Everton,al ALB,5,0,0
David Brooks,FW,27.0,Bournemouth,wls WAL,21,2,0
Arvid Brorsson,DF,25.0,Monza,se SWE,3,0,0
Moritz Broschinski,"FW,MF",24.0,Bochum,de GER,25,1,3
Nathaniel Brown,"DF,MF",21.0,Eint Frankfurt,de GER,17,3,4
Jacob Bruun Larsen,"FW,MF",26.0,Hoffenheim,dk DEN,12,2,2
Jacob Bruun Larsen,MF,26.0,Stuttgart,dk DEN,8,1,0
Tajon Buchanan,"DF,FW",26.0,Inter,ca CAN,6,0,0
Tajon Buchanan,"MF,FW",26.0,Villarreal,ca CAN,4,0,0
Ante Budimir,FW,33.0,Osasuna,hr CRO,26,14,2
Emi Buendía,"MF,FW",28.0,Aston Villa,ar ARG,12,0,0
Emi Buendía,"MF,FW",28.0,Leverkusen,ar ARG,5,0,0
Manu Bueno,MF,20.0,Sevilla,es ESP,6,1,0
Santiago Bueno,DF,26.0,Wolves,uy URU,21,0,0
Endika Buján,FW,22.0,Athletic Club,es ESP,1,0,0
Marius Bülter,"FW,DF",31.0,Hoffenheim,de GER,16,4,1
Facundo Buonanotte,"FW,MF",20.0,Leicester City,ar ARG,24,4,2
